weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
11/1/2008,91,Be OK,Ingrid Michaelson,Be OKIngrid Michaelson,1,,91,1
4/18/2009,75,Be On You,Flo Rida Featuring Ne-Yo,Be On YouFlo Rida Featuring Ne-Yo,1,,75,1
4/1/2000,63,Be With You,Enrique Iglesias,Be With YouEnrique Iglesias,1,,63,1
11/26/2005,93,Be Without You,Mary J. Blige,Be Without YouMary J. Blige,1,,93,1
3/26/2005,100,Be Yourself,Audioslave,Be YourselfAudioslave,1,,100,1
4/12/2008,22,Beat It,Fall Out Boy Featuring John Mayer,Beat ItFall Out Boy Featuring John Mayer,1,,22,1
10/7/2000,75,Beautiful Day,U2,Beautiful DayU2,1,,75,1
6/16/2007,56,Beautiful Flower,India.Arie,Beautiful FlowerIndia.Arie,1,,56,1
6/9/2007,83,Beautiful Girls,Sean Kingston,Beautiful GirlsSean Kingston,1,,83,1
1/18/2003,97,Beautiful Goodbye,Jennifer Hanson,Beautiful GoodbyeJennifer Hanson,1,,97,1
3/31/2007,94,Beautiful Liar,Beyonce & Shakira,Beautiful LiarBeyonce & Shakira,1,,94,1
4/8/2006,69,Beautiful Love,The Afters,Beautiful LoveThe Afters,1,,69,1
8/10/2002,78,Beautiful Mess,Diamond Rio,Beautiful MessDiamond Rio,1,,78,1
12/11/2004,72,Beautiful Soul,Jesse McCartney,Beautiful SoulJesse McCartney,1,,72,1
12/20/2008,19,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,BeautifulAkon Featuring Colby O'Donis & Kardinal Offishall,1,,19,1
11/23/2002,62,Beautiful,Christina Aguilera,BeautifulChristina Aguilera,1,,62,1
5/30/2009,17,Beautiful,Eminem,BeautifulEminem,1,,17,1
2/8/2003,69,Beautiful,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,BeautifulSnoop Dogg Featuring Pharrell & Uncle Charlie Wilson,1,,69,1
